Col1,
Falta,
No,
Sin,
mal,
escaso,
Confusa,
Inclonclusa,
Buen,
Bueno,
Bien,
Me gusto,
Muy,
Mas,
Bastante,
Poco,
Parece,
Algo,
Casi
